title,categoryName,description,price,totalScore,reviewsCount,imagesCount,address,neighborhood,street,city,postalCode,state,website,phone,location.lat,location.lng,openingHours,reviewsDistribution.oneStar,reviewsDistribution.twoStar,reviewsDistribution.threeStar,reviewsDistribution.fourStar,reviewsDistribution.fiveStar,Features,price_numeric,High Rated,Reservations,Parking,Delivery,Outdoor Seating,Takeout,Vegetarian Options,Wheelchair Accessible,Family Friendly,Pet Friendly
Dakshin Exotica (New Krishna Bhavan),Indian        ,,₹1–200,4.0,4.0,,"Mantri Square Mall, 3rd Floor, Sampige Road, Malleshwaram, Bengaluru 560003 India",Malleshwaram,Mantri Square Mall,Bengaluru,560003,Karnataka,https://www.zomato.com/bangalore/dakshin-cafe-1-kumaraswamy-layout-bangalore?context=eyJzZSI6eyJlIjpbIjU3OTIyIiwiMTg3NTczMjciLCIxODczNDgxOSIsIjE4NzM2MjMyIiwxODc2NjUwMSwiMTg3NDE4MzMiLCIxODc0MTkzMCIsIjE4NzQyMTA1IiwiMTg3NTQ3NzYiLCIxODc4ODgwMSIsIjE4Nzc0MzQ1IiwiMTg3NzUwOTUiLCIxODc5MTk3NCIsIjE4ODE4NTU1IiwiMTg4MjE3MzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 80 2356 0940,12.99278,77.57153,,0.0,0.0,0.0,1.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Dakshin Restaurant,        ,,₹1–200,4.0,10.0,,"48, Opposite Pizza Hut, Brigade Road, Bengaluru 560001 India",Brigade Road,48,Bengaluru,560001,Karnataka,https://www.zomato.com/bangalore/dakshin-cafe-1-kumaraswamy-layout-bangalore?context=eyJzZSI6eyJlIjpbIjU3OTIyIiwiMTg3NTczMjciLCIxODczNDgxOSIsIjE4NzM2MjMyIiwxODc2NjUwMSwiMTg3NDE4MzMiLCIxODc0MTkzMCIsIjE4NzQyMTA1IiwiMTg3NTQ3NzYiLCIxODc4ODgwMSIsIjE4Nzc0MzQ1IiwiMTg3NzUwOTUiLCIxODc5MTk3NCIsIjE4ODE4NTU1IiwiMTg4MjE3MzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 80 4153 9856,12.96733,77.60651,,0.0,0.0,0.0,1.0,0.0,Reservations                            ,100.5,1.0,1,0,0,0,0,0,0,0,0
Dakshin Tiffin Center,Seafood        ,,₹1–200,5.0,1.0,,"162, Bhaskar Plaza, 5th Main, Sector 6, Near Reddys Super Market, Hsr Layout, Bengaluru 560034 India",Hsr Layout,162,Bengaluru,560034,Karnataka,https://www.zomato.com/bangalore/dakshin-cafe-1-kumaraswamy-layout-bangalore?context=eyJzZSI6eyJlIjpbIjU3OTIyIiwiMTg3NTczMjciLCIxODczNDgxOSIsIjE4NzM2MjMyIiwxODc2NjUwMSwiMTg3NDE4MzMiLCIxODc0MTkzMCIsIjE4NzQyMTA1IiwiMTg3NTQ3NzYiLCIxODc4ODgwMSIsIjE4Nzc0MzQ1IiwiMTg3NzUwOTUiLCIxODc5MTk3NCIsIjE4ODE4NTU1IiwiMTg4MjE3MzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 99001 62288,12.91418,77.62533,,0.0,0.0,0.0,1.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Dakshina Veg,        ,,₹1–200,4.0,3.0,,"Hoodi Circle, ITPL Main Road, Whitefield, Bengaluru 560066 India",Whitefield,Hoodi Circle,Bengaluru,560066,Karnataka,https://www.zomato.com/bangalore/dakshin-cafe-1-kumaraswamy-layout-bangalore?context=eyJzZSI6eyJlIjpbIjU3OTIyIiwiMTg3NTczMjciLCIxODczNDgxOSIsIjE4NzM2MjMyIiwxODc2NjUwMSwiMTg3NDE4MzMiLCIxODc0MTkzMCIsIjE4NzQyMTA1IiwiMTg3NTQ3NzYiLCIxODc4ODgwMSIsIjE4Nzc0MzQ1IiwiMTg3NzUwOTUiLCIxODc5MTk3NCIsIjE4ODE4NTU1IiwiMTg4MjE3MzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,,12.98392,77.72893,,0.0,0.0,0.0,1.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Dal Roti Restaurant,        ,,₹1–200,3.5,2.0,,"1392 4'th Main Road, Bengaluru 560078 India",1392 4'th Main Road,1392 4'th Main Road,Bengaluru,560078,Karnataka,https://www.zomato.com/bangalore/dal-roti-jp-nagar?context=eyJzZSI6eyJlIjpbIjE4OTAwNDcyIiwiMTg4MDY4OTUiLCI1OTMzNyIsIjU3ODMyIiw1MTIyMywiNTQxNjUiLCIxODc2MjUxNiIsIjE4Nzk0OTkyIiwiNTEyNDMiLCIxODc5NzIyNyIsIjE4NzYyNzAyIiwiMTg1MzUwMTEiLCIxODY2NzM5OCIsIjE4NjU1NTgzIiwiMTg0NTU1NzUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19,26493524,12.91136,77.58432,,19.0,20.0,91.0,70.0,17.0,                            ,100.5,0.0,0,0,0,0,0,0,0,0,0
Dal Tadkaa,Indian        ,,₹200–400,4.0,4.0,,"1 Kathriguppe Main Road Near Big Bazaar, Bengaluru 560085 India",1 Kathriguppe Main Road Near Big Bazaar,1 Kathriguppe Main Road Near Big Bazaar,Bengaluru,560085,Karnataka,https://www.zomato.com/bangalore/dal-tadkaa-banashankari?context=eyJzZSI6eyJlIjpbIjU5MTg5IiwiMTg3Mjg5NzYiLCI1ODU5MiIsIjE4Nzg1NjQwIiw1MTQ5MCwiNTUwMDAiLCIxODY0ODA2MSIsIjE4NjUwODA4IiwiNTIzODkiLCIxODcxMzgzOSIsIjE4MTQ4OTQxIiwiMTg2MTk0MzQiLCIxODQyMzQxNCIsIjE4ODM5NTE3IiwiMTg3MjczMjUiLCI1Nzk1OSIsIjE4ODU4MDA1IiwiMTc5NzgzNTIiLCIxODM4MjkxMyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19,+91 80 2669 1763,12.93335,77.55768,,73.0,47.0,82.0,44.0,23.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
Dal Tadkaa,Indian        ,,₹200–400,3.5,16.0,,"No 1 Above HDFC Bank,Kathriguppe cricle,BSK3rd Stage, Bengaluru 560085 India",BSK3rd Stage,No 1 Above HDFC Bank,Bengaluru,560085,Karnataka,https://www.zomato.com/bangalore/dal-tadkaa-banashankari?context=eyJzZSI6eyJlIjpbIjU5MTg5IiwiMTg3Mjg5NzYiLCI1ODU5MiIsIjE4Nzg1NjQwIiw1MTQ5MCwiNTUwMDAiLCIxODY0ODA2MSIsIjE4NjUwODA4IiwiNTIzODkiLCIxODcxMzgzOSIsIjE4MTQ4OTQxIiwiMTg2MTk0MzQiLCIxODQyMzQxNCIsIjE4ODM5NTE3IiwiMTg3MjczMjUiLCI1Nzk1OSIsIjE4ODU4MDA1IiwiMTc5NzgzNTIiLCIxODM4MjkxMyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19,+91 96201 38000,12.92856,77.5731,,73.0,47.0,82.0,44.0,23.0,Delivery Takeout Reservations Outdoor Seating Buffet Private Dining Seating Parking Available Street Parking Free off-street parking Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Cash Only Accepts Credit Cards Table Service Drive Thru Family style Non-smoking restaurants Gift Cards Available        ,300.0,0.0,1,1,1,1,1,0,0,1,0
Dalchini,Indian        ,,₹200–400,4.0,1.0,,"55/2, Devarabisanahalli, Outer Ring Road, Bengaluru 560103 India",Outer Ring Road,55/2,Bengaluru,560103,Karnataka,https://www.zomato.com/bangalore/dalchini-bellandur?context=eyJzZSI6eyJlIjpbIjE4Mzc5NjQwIiwiMTg2OTcwMDciLCIxODc3MTY4OCIsIjUyNTU4IiwxODM1OTE0NCwiMTgyNTQ1NjYiLCIxODYwODc3MyIsIjE4MDQ4MjI2IiwiMTg5MDA4ODQiLCI1MTAxOSIsIjU0MTEyIiwiMTg1ODA4MjMiLCIxODM3NTQ5MSIsIjE4Nzk1NjAzIiwiNTMyMjIiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJlbGxhbmR1ciJ9fQ==,+91 73383 43838,12.931458,77.685905,,0.0,1.0,4.0,0.0,0.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
Dalma,        ,,₹200–400,4.0,8.0,,"No. 93, 3rd & 4th Floor, 5th Cross, 6th Block, Koramangala Near Central Bank Of India, Bengaluru India",Koramangala Near Central Bank Of India,No. 93,Bengaluru,,Karnataka,https://www.zomato.com/bangalore/dalma-koramangala-6th-block?context=eyJzZSI6eyJlIjpbIjE4Nzk1MDc2IiwiMTg3ODUxMTIiLCIxODcwOTk4MSIsIjE4NzAyNDU0Iiw1NjA4OSwiMTg1NzkzNDciLCIxODYxNzUzNSIsIjE4NTc2ODA2IiwiMTg2NTQ2OTUiLCI1OTg2NSIsIjE4ODUzNjY5IiwiMTg4OTQ5MDAiLCIxODI3MDE2MyIsIjU5MDc3IiwiMTgyMjE1OTAiLCI1MDk0MyIsIjE4NzY1ODg4IiwiMTg2NTc2NTUiLCIxODg2MzA4MyIsIjU2NjM1IiwiMTg2NzgwNzAiLCIxODU3MDQ5MiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQlRNIn19,+91 80 4160 0213,12.93312,77.62968,,0.0,1.0,2.0,2.0,3.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
Dalma Hotel Restaurant,Indian Asian       ,,₹200–400,3.0,21.0,,"37, 100 Feet Ring Road, 6th Block, Near The Dhanalakshmi Bank Limited, Koramangala, Bengaluru 560095 India",Koramangala,37,Bengaluru,560095,Karnataka,https://www.zomato.com/bangalore/dalma-koramangala-6th-block?context=eyJzZSI6eyJlIjpbIjE4Nzk1MDc2IiwiMTg3ODUxMTIiLCIxODcwOTk4MSIsIjE4NzAyNDU0Iiw1NjA4OSwiMTg1NzkzNDciLCIxODYxNzUzNSIsIjE4NTc2ODA2IiwiMTg2NTQ2OTUiLCI1OTg2NSIsIjE4ODUzNjY5IiwiMTg4OTQ5MDAiLCIxODI3MDE2MyIsIjU5MDc3IiwiMTgyMjE1OTAiLCI1MDk0MyIsIjE4NzY1ODg4IiwiMTg2NTc2NTUiLCIxODg2MzA4MyIsIjU2NjM1IiwiMTg2NzgwNzAiLCIxODU3MDQ5MiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQlRNIn19,+91 80 4166 0921,12.93629,77.61678,,0.0,1.0,2.0,2.0,3.0,Seating Table Service                           ,300.0,0.0,0,0,0,1,0,0,0,0,0
Dande's Hyderabadi Biryani,        ,,₹200–400,4.0,5.0,,"268/3 Bvnr Complex 1st Floor Hosur Main Road, Bengaluru 560068 India",268/3 Bvnr Complex 1st Floor Hosur Main Road,268/3 Bvnr Complex 1st Floor Hosur Main Road,Bengaluru,560068,Karnataka,https://www.zomato.com/bangalore/dandes-hyderabad-biryani-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4ODQ4ODA1IiwiMTg5MDAwNzIiLCIxODc3ODk5NyIsIjUzNDgzIiwxODUxNjI5NywiMTgzNTk5MTkiLCI1OTMzOCIsIjE4NzYzOTM3IiwiNTc3MDciLCIxODc5Njc5MCIsIjE4NzI0OTQ4IiwiMTg4ODI5ODEiLCIxODYyNjAxMyIsIjE4NTQ4MDIwIiwiMTg1ODc5MDUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19,+91 80 4166 7966,12.90569,77.62995,,0.0,0.0,3.0,2.0,1.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
Darasuni - Flavour Of Punjab,        ,,,3.5,8.0,,"2/9, 80 Feet Road, Poojari Layout, Rmv 2nd Stage, 2nd Block, Opposite Ms Ramaiah Hospital, Sanjay Nagar Rmv 2nd Stage, 2nd Block, Sanjay Nagar, Bengaluru India",Sanjay Nagar,2/9,Bengaluru,,Karnataka,,+91 99860 57916,,,,,,,,,Reservations                            ,300.0,0.0,1,0,0,0,0,0,0,0,0
Dasaprakash At The Boulevard,Mexican Indian Cafe Fast Food     ,"The House of Dasaprakash has for generations been synonymous with great food, eloquent hospitality and pleasing innovations. As we step into the next era, there is a yearning for the glory days and a mission to bring our brand of classic hospitality to the citizens of the world.We are a nation rich in tradition and we are delivered to the preservation of one's heritage.",₹1–200,3.0,1.0,,"Rangoli Metro Art Centre, MG Road Bangalore, India, Bengaluru 560042 India",India,Rangoli Metro Art Centre,Bengaluru,560042,Karnataka,https://www.zomato.com/bangalore/dasaprakash-cafe-mg-road?context=eyJzZSI6eyJlIjpbIjE4NTI5MDI2IiwiMTg1NzgxMDciLCIxODcxMjY0MiIsIjE4NzgxNDEyIiwxODYyMjkzMywiMTg1OTExNzAiLCIxODg5MjY0MCIsIjE4OTE4NTE4IiwiMTg5NDQ0MjUiLCI1MzE4NSIsIjE4NjU4MzMyIiwiMTg5NjU4OTIiLCIxODMwODc1NiIsIjUyMDk3IiwiMTg4ODI4NzYiLCI1MDUxMCIsIjE4MjA4MzU2IiwiMTg3MDY4OTkiLCI1ODAyMiIsIjE4ODU1MDM1IiwiMTg0MjYyODciLCIxODQ4MDAyNiJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQnJpZ2FkZSBSb2FkIn19,+91 80 2558 2222,12.976033,77.60482,,0.0,0.0,0.0,1.0,0.0,                            ,100.5,0.0,0,0,0,0,0,0,0,0,0
Davanagere Benne Dosa,Indian        ,,₹1–200,4.0,8.0,,"36/No 36/A 2nd Block, Rajajinagar, Bengaluru 560010 India",Rajajinagar,36/No 36/A 2nd Block,Bengaluru,560010,Karnataka,https://www.zomato.com/bangalore/davanagere-benne-dosa-jayanagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTM0NzE4IiwiMTg1OTk1NDgiLCI1OTAwOCIsIjYxNDA4IiwxODk2NTA4NCwiMTg2NjgwODMiLCIxODc4MjYzNiIsIjE4MTczMDY0IiwiMTg1OTM0NTEiLCIxODU3OTkxNiIsIjE4NjAzNDc0IiwiMTg0NzY0NDgiLCIxODYxNzgxNyIsIjUxMjI3IiwiNjA0MDkiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhc2F2YW5hZ3VkaSJ9fQ==,+91 93417 07114,12.98446,77.55312,,0.0,0.0,1.0,0.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Davangere Benne Dose,Cafe        ,,₹1–200,4.0,8.0,,"#46/1, Housr Main Road Bommanahalli, Bengaluru 560068 India",Housr Main Road Bommanahalli,#46/1,Bengaluru,560068,Karnataka,https://www.zomato.com/bangalore/davanagere-benne-dose-hsr-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjI0NTAzIiwiMTgxMDc5OTYiLCIxODY1Nzc5MyIsIjU5OTk5IiwxODcyOTM4NSwiMTg2Njc2NDUiLCIxODcyMjg5MyIsIjUxMDAyIiwiMTg2NzM0MjMiLCIxODQ2ODgzNSIsIjE4NjA3MzIwIiwiMTg2Mjc2MDYiLCI1OTc5MyIsIjE4NjEwMjkxIiwiMTg5MzYwMjQiLCIxODc5NzIxOSIsIjE4NzgwNTYzIiwiMTg4NTU2NDYiLCIxODgxOTk1NCIsIjE4NzYzOTM3IiwiMTg2MjU1NjAiLCI2MDk5MyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQlRNIn19,+91 98446 29529,12.92651,77.61688,,0.0,0.0,2.0,3.0,1.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Davangere Benne Hotel,        ,,,3.0,1.0,,"85/86/7, Hosur Main Road, Near Prashanth Hotel, Bommanahalli, Bengaluru 560068 India",Bommanahalli,85/86/7,Bengaluru,560068,Karnataka,,,12.90376,77.63114,,,,,,,                            ,300.0,0.0,0,0,0,0,0,0,0,0,0
Davani Bar and Restaurant and Rooms,Restaurant,,,4.2,68.0,68.0,"Shop No - 402, Akshaya Complex, 10th Main Road, Myadarahalli, Agb Layout, Chikkasandra, Jalahalli West, Bengaluru, Karnataka 560090, India","Myadarahalli, Agb Layout, Chikkasandra, Jalahalli West","Shop No - 402, Akshaya Complex, 10th Main Road",Bengaluru,560090.0,Karnataka,https://www.davanirestaurantandrooms.in/,+91 80 6812 5754,13.0714354,77.5071209,[],8.0,3.0,3.0,5.0,49.0,Accepts reservations | All you can eat | Bar onsite | Casual | Coffee | Counter service | Credit cards | Curbside pickup | Debit cards | Delivery | Dine-in | Dinner | Family-friendly | Free Wi-Fi | Free parking lot | Free street parking | Gender-neutral restroom | Good for kids | Google Pay | Groups | Happy hour food | High chairs | LGBTQ+ friendly | Lunch | NFC mobile payments | Private dining room | Quick bite | Restroom | Salad bar | Seating | Small plates | Solo dining | Table service | Takeout | Usually plenty of parking | Vegetarian options | Wheelchair accessible entrance | Wheelchair accessible seating | Wi-Fi,300.0,1.0,1,1,1,1,1,1,1,1,0
Davis Bar and Restaurant,        ,,₹200–400,4.0,2.0,,"Oil Mill Road Corner, Kammanahalli, Bengaluru 560084 India",Kammanahalli,Oil Mill Road Corner,Bengaluru,560084,Karnataka,https://www.zomato.com/bangalore/davis-bar-and-restaurant-kammanahalli?context=eyJzZSI6eyJlIjpbIjE4NzM1NjQyIiwiMTg3ODg2NTgiLCIxODY3MTI0NiIsIjE4MjE2NjY0Iiw1NjU0OSwiNTgyODkiLCIxODY1Nzc2OSIsIjE4NjgwMzI2IiwiMTg2MzI4ODAiLCIxODYzMjI1OCIsIjE4OTQwOTcwIiwiMTg5MzQ4NjIiLCIxODc4NjI2NiIsIjE4Nzg1MzQ0IiwiNTc0ODIiLCI1MDAyOCIsIjE4NTEzOTMxIiwiMTg5NTkyODMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEthbHlhbiBOYWdhciJ9fQ==,+91 80 2548 4555,13.01269,77.62702,,0.0,1.0,0.0,0.0,0.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
Dawaat-e-Rasoi,        ,,,3.5,6.0,,"RT Nagar Main Road Opposite Indian Oil Petrol Pump, Bengaluru 560032 India",RT Nagar Main Road Opposite Indian Oil Petrol Pump,RT Nagar Main Road Opposite Indian Oil Petrol Pump,Bengaluru,560032,Karnataka,,+91 80 4161 6106,13.02309,77.59268,,,,,,,                            ,300.0,0.0,0,0,0,0,0,0,0,0,0
Dawat Restaurant,Restaurant,,,3.0,25.0,3.0,"Sodepur, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008, India","Sodepur, Appareddipalya, Indiranagar",,Bengaluru,560008.0,Karnataka,,,12.9718915,77.6411545,"[{'day': 'Monday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Tuesday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Wednesday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Thursday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Friday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Saturday', 'hours': '11\u202fAM to 11\u202fPM'}, {'day': 'Sunday', 'hours': '11\u202fAM to 11\u202fPM'}]",10.0,1.0,3.0,2.0,9.0,Casual | Delivery | Dine-in | Dinner | Free street parking | Good for kids | Groups | Halal food | Lunch | NFC mobile payments | Small plates | Solo dining | Table service | Takeout,300.0,0.0,0,1,1,0,1,0,0,1,0
Dawood's Kitchen,Indian        ,,,5.0,1.0,,"2 Krishna Nagar Main Road Near Garden City College, Battarahalli, KR Puram, Bengaluru 560036 India",KR Puram,2 Krishna Nagar Main Road Near Garden City College,Bengaluru,560036,Karnataka,,+91 78297 35995,13.00476,77.70529,,,,,,,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
De Grand Restaurant,Chinese Fast Food       ,,₹200–400,4.0,5.0,,"345, 10th Main, 100 Feet Road, Hrbr Layout, Dodda Banaswadi, Bengaluru India",Dodda Banaswadi,345,Bengaluru,,Karnataka,https://www.zomato.com/bangalore/de-grand-restaurant-banaswadi?context=eyJzZSI6eyJlIjpbIjU0NTQzIiwiNTMzMDgiLCIxODI4NTE1NSIsIjE4OTA0NTk4Iiw1ODE2NywiNTQ3MzUiLCI1OTU4OSIsIjE4NjY5MjcxIiwiMTgzMDU2NjAiLCIxODY4NDQyMSIsIjE4Mzg1NDQ4IiwiMTg3ODY1NzIiLCIxODY3NzUwMSIsIjE4ODgyMDYzIiwiMTg3NjMyNzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEthbHlhbiBOYWdhciJ9fQ==,+91 98869 99957,12.91659,77.60025,,0.0,0.0,1.0,3.0,0.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
De Parathzzaa Cafe,Indian        ,,,4.0,1.0,,"Survey No 117, 1, Basavanapura - Vaderahalli Rd Near Hyundai Showroom, Vaderahalli, Karnataka, Bengaluru 562159 India",Karnataka,Survey No 117,Bengaluru,562159,Karnataka,,,12.753306,77.31814,,,,,,,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
De Royale Spice Restaurant,Family restaurant,,₹400–600,4.0,36.0,62.0,"513, Whitefield Main Rd, Maheswari Nagar, Puttappa layout, Mahadevapura, Bengaluru, Karnataka 560048, India","Maheswari Nagar, Puttappa layout, Mahadevapura","513, Whitefield Main Rd",Bengaluru,560048.0,Karnataka,https://deroyale.in/,+91 72040 59365,12.9961596,77.6912489,"[{'day': 'Monday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Tuesday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Wednesday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Thursday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Friday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Saturday', 'hours': '7\u202fAM to 11\u202fPM'}, {'day': 'Sunday', 'hours': '7\u202fAM to 11\u202fPM'}]",4.0,2.0,3.0,9.0,18.0,Accepts reservations | Casual | Credit cards | Debit cards | Delivery | Dessert | Dine-in | Dinner | Free street parking | Good for kids | Groups | Lunch | NFC mobile payments | No-contact delivery | Quick bite | Restroom | Small plates | Solo dining | Table service | Takeout | Usually plenty of parking,500.0,1.0,1,1,1,0,1,0,0,1,0
Deccan House,        ,,₹1–200,5.0,1.0,,"151 8th Cross Road Near Ganesh Temple, Bengaluru 560037 India",151 8th Cross Road Near Ganesh Temple,151 8th Cross Road Near Ganesh Temple,Bengaluru,560037,Karnataka,https://www.zomato.com/bangalore/deccan-house-new-bel-road?context=eyJzZSI6eyJlIjpbIjE4NjQzMDQ3IiwiMTg1MTE2NDYiLCIxODE5ODg3OSIsIjE4NzEzOTg4Iiw1NTcwNCwiNTQ2NDQiLCIxODA4OTY5NSIsIjUyNjczIiwiMTgyMzc5MzAiLCIxODY2NTQwNyIsIjUwMzExIiwiMTg3MzE1MzciLCIxODcwMzUwNCIsIjE4ODUyOTExIiwiMTg0MjQwOTAiLCIxODg3OTA2NiIsIjE4NDE4NTU0IiwiNjAzNDAiLCIxODc0MjkxNSIsIjE4NTE1NTgwIiwiNTcyNzQiLCIxODM2NjY1MiIsIjE4NDU5NzMzIiwiNTQyMjUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIE1hbGxlc2h3YXJhbSJ9fQ==,+91 80 3256 1133,13.03588,77.56634,,0.0,1.0,0.0,1.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
Deccan Spices,Andhra restaurant,,₹1–200,4.1,258.0,57.0,"50, Old Race Course Rd, Yellagondanpalya, Austin Town, Victoria Layout, Bengaluru, Karnataka 560047, India","Yellagondanpalya, Austin Town, Victoria Layout","50, Old Race Course Rd",Bengaluru,560047.0,Karnataka,,+91 70199 91321,12.9616499,77.6140636,[],22.0,10.0,31.0,65.0,130.0,All you can eat | Brunch | Catering | Credit cards | Debit cards | Delivery | Dine-in | Dinner | Family-friendly | Free parking lot | Free street parking | Gender-neutral restroom | Lunch | NFC mobile payments | Restroom | Seating | Table service | Takeout | Usually plenty of parking | Wheelchair accessible entrance | Wheelchair accessible seating,100.5,1.0,0,1,1,1,1,0,1,1,0
Deck of Brews,Italian Indian Brew Pub Barbecue Asian    ,"Deck of Brews [DOB] is a place where people can come together and celebrate their connections, no matter the time of year. Our name refers to both the open architectural design of our space and the diverse selection of brews and blends we offer.",,5.0,3.0,,"Gear School Rd, Kaverappa Layout, Kadubeesanahalli Next to Prestige Ivy Terrace, Bengaluru 560103 India",Kadubeesanahalli Next to Prestige Ivy Terrace,Gear School Rd,Bengaluru,560103,Karnataka,,+91 88848 77773,12.933819,77.69676,,,,,,,Delivery Takeout Reservations Outdoor Seating Seating Parking Available Valet Parking Television Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Live Music Dog Friendly Family style Sports bars     ,300.0,1.0,1,1,1,1,1,0,1,1,0
Deep Sagar,        ,,,3.0,1.0,,"9, Ground Floor, Nal Wind Tunner Road, Murugeshpalya, Old Airport Road, Bengaluru 560017 India",Old Airport Road,9,Bengaluru,560017,Karnataka,,,12.95275,77.6551,,,,,,,                            ,300.0,0.0,0,0,0,0,0,0,0,0,0
Deewar,Chinese        ,,,3.5,13.0,,"1210/D, 2nd Stage, 1st Phase, 80 Feet Road, Near Chandra Layout Bus Depot, Chandra Layout Chandra Layout, Bengaluru 560040 India",Chandra Layout Chandra Layout,1210/D,Bengaluru,560040,Karnataka,,+91 80 2321 6659,12.95687,77.53086,,,,,,,Reservations Table Service                           ,300.0,0.0,1,0,0,0,0,0,0,0,0
Degchi,        ,,₹200–400,4.0,2.0,,"No 1057 Kailash Chamber Building 2nd Floor Banaswadi Main Road, Bengaluru 560043 India",No 1057 Kailash Chamber Building 2nd Floor Banaswadi Main Road,No 1057 Kailash Chamber Building 2nd Floor Banaswadi Main Road,Bengaluru,560043,Karnataka,https://www.zomato.com/bangalore/degchi-restaurant-banaswadi?context=eyJzZSI6eyJlIjpbIjE4MzcxMjQ0IiwiMTg3NTUxODQiLCI1NDU0MyIsIjE4ODU2MDI0Iiw1MDM1NSwiMTgzNzU0ODAiLCIxODc0Mjg0MSIsIjE4ODAwODg1IiwiMTg2Nzk3MTUiLCIxODYwOTY1MiIsIjE4NTgyNjA1IiwiNTQ3MTgiLCI1MzgxMiIsIjU4MTY4IiwiMTg3NjAzMTciLCIxODY3MjExMyIsIjE4NTA5NDI4IiwiNTIyNTYiLCI1NzM5NyIsIjE4MjI3NjY1IiwiNTE3MDIiLCIxODQyNjQwNyJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gS2FseWFuIE5hZ2FyIn19,+91 80 6565 5656,13.01477,77.65285,,39.0,36.0,40.0,25.0,45.0,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
